Species,trName,presentInGardnerTree,tip,position,node,distUp,justification,reference,notes,Higher_taxon,Region,Comments.corrections,deleteReason,sequenced_gall_inducers,comments_ar
Lithocarpus_brevicaudatus,Lithocarpus_brevicaudatus,,Lithocarpus_brevicaudatus,sister to L magalophyllus; these two sister to hancei + oblanceolatus,Lithocarpus_hancei|Lithocarpus_oblanceolatus,4,genbank ITS,,,Lithocarpus,Eastern Palearctic and Oriental,,,y,retain
Lithocarpus_megalophyllus,Lithocarpus_megalophyllus,,Lithocarpus_megalophyllus,sister to L brevicaudatus; these two sister to hancei + oblanceolatus,Lithocarpus_brevicaudatus,2,genbank ITS,,,Lithocarpus,Eastern Palearctic and Oriental,,,n,delete
Notholithocarpus_densiflorus,Notholithocarpus_densiflorus,x,,,,NA,,,,Notholithocarpus ,Nearctic,,,y,retain
Quercus_acutifolia,Quercus_acutifolia,x,,,,NA,,,,Quercus_section_Lobatae,Nearctic,,,y,retain
Quercus_acutissima,Quercus_acutissima,x,,,,NA,,,,Quercus_section_Cerris,Eastern Palearctic and Oriental,,,y,retain
Quercus_agrifolia,Quercus_agrifolia,x,,,,NA,,,,Quercus_section_Lobatae,Nearctic,,,y,retain
Quercus_ajoensis,Quercus_ajoensis,x,,,,NA,,,,Quercus_section_Quercus,Nearctic,,,y,retain
Quercus_alba,Quercus_alba,x,,,,NA,,,,Quercus_section_Quercus,Nearctic,,,y,retain
Quercus_aliena,Quercus_aliena,x,,,,NA,,,,Quercus_section_Quercus,Eastern Palearctic and Oriental,,,y,retain
Quercus_aliena var. acutiserrata,Quercus_aliena_var_acutiserrata,,Quercus_aliena_var_acutiserrata,sister to Quercus aliena,Quercus_aliena,2,,,,Quercus_section_Quercus,Eastern Palearctic and Oriental,Not in Denk et al. - a variety of Q. aliena which is in global phylogeny,,n,delete
Quercus_aquifolioides,Quercus_aquifolioides,,Quercus_aquifolioides,base of clade spanning Q. semecarpifolia to Q. rehderiana,Quercus_semecarpifolia|Quercus_rehderiana,0,"synonym of Q. rehderiana fide Menitski, but some ambiguity, as it is said to be similar to Q. semecarpifolia as well.",http://oaks.of.the.world.free.fr/quercus_aquifolioides.htm,,Quercus_section_Ilex,Eastern Palearctic and Oriental,,,y,retain
Quercus_arizonica,Quercus_arizonica,x,,,,NA,,,,Quercus_section_Quercus,Nearctic,,,y,retain
Quercus_berberidifolia,Quercus_berberidifolia,x,,,,NA,,,,Quercus_section_Quercus,Nearctic,,,y,retain
Quercus_bicolor,Quercus_bicolor,x,,,,NA,,,,Quercus_section_Quercus,Nearctic,,,y,retain
Quercus_brantii,Quercus_brantii,x,,,,NA,,,,Quercus_section_Cerris,Western Palearctic,,,y,retain
Quercus_buckleyi,Quercus_buckleyi,x,,,,NA,,,,Quercus_section_Lobatae,Nearctic,,,y,retain
Quercus_canariensis,Quercus_canariensis,x,,,,NA,,,,Quercus_section_Quercus,Western Palearctic,,,y,retain
Quercus_castanea,Quercus_castanea,x,,,,NA,,,,Quercus_section_Lobatae,Nearctic,,,y,retain
Quercus_castaneifolia,Quercus_castaneifolia,x,,,,NA,,,,Quercus_section_Cerris,Western Palearctic,,,y,retain
Quercus_cerris,Quercus_cerris,x,,,,NA,,,,Quercus_section_Cerris,Western Palearctic,,,y,retain
Quercus_chapmanii,Quercus_chapmanii,x,,,,NA,,,,Quercus_section_Quercus,Nearctic,,,y,retain
Quercus_chihuahuensis,Quercus_chihuahuensis,x,,,,NA,,,,Quercus_section_Quercus,Nearctic,,,y,retain
Quercus_chrysolepis,Quercus_chrysolepis,x,,,,NA,,,,Quercus_section_Protobalanus,Nearctic,,,y,retain
Quercus_coccifera,Quercus_coccifera,x,,,,NA,,,,Quercus_section_Ilex,Western Palearctic,,,y,retain
Quercus_coccinea,Quercus_coccinea,x,,,,NA,,,,Quercus_section_Lobatae,Nearctic,,,y,retain
Quercus_cornelius-mulleri,Quercus_cornelius-mulleri,x,,,,NA,,,,Quercus_section_Quercus,Nearctic,,,y,retain
Quercus_costaricensis,Quercus_costaricensis,x,,,,NA,,,,Quercus_section_Lobatae,Nearctic,,,y,retain
Quercus_dalechampii,Quercus_dalechampii,x,,,,NA,,,,Quercus_section_Quercus,Western Palearctic,,,y,retain
Quercus_dentata,Quercus_dentata,x,,,,NA,,,,Quercus_section_Quercus,Eastern Palearctic and Oriental,,,y,retain
Quercus_deserticola,Quercus_deserticola,x,,,,NA,,,,Quercus_section_Quercus,Nearctic,,,y,retain
Quercus_douglasii,Quercus_douglasii,x,,,,NA,,,,Quercus_section_Quercus,Nearctic,,,y,retain
Quercus_dumosa,Quercus_dumosa,x,,,,NA,,,,Quercus_section_Quercus,Nearctic,,,y,retain
Quercus_durata,Quercus_durata,x,,,,NA,,,,Quercus_section_Quercus,Nearctic,,,y,retain
Quercus_ellipsoidalis,Quercus_ellipsoidalis,x,,,,NA,,,,Quercus_section_Lobatae,Nearctic,,,y,retain
Quercus_emoryi,Quercus_emoryi,x,,,,NA,,,,Quercus_section_Lobatae,Nearctic,,,y,retain
Quercus_engelmannii,Quercus_engelmannii,x,,,,NA,,,,Quercus_section_Quercus,Nearctic,,,y,retain
Quercus_fabri,Quercus_fabri,x,,,,NA,,,,Quercus_section_Quercus,Eastern Palearctic and Oriental,,,y,retain
Quercus_faginea,Quercus_faginea,x,,,,NA,,,,Quercus_section_Quercus,Western Palearctic,,,y,retain
Quercus_falcata,Quercus_falcata,x,,,,NA,,,,Quercus_section_Lobatae,Nearctic,,,y,retain
Quercus_frainetto,Quercus_frainetto,x,,,,NA,,,,Quercus_section_Quercus,Western Palearctic,,,y,retain
Quercus_fusiformis,Quercus_fusiformis,x,,,,NA,,,,Quercus_section_Virentes,Nearctic,,,y,retain
Quercus_gambelii,Quercus_gambelii,,Quercus_gambelii,sister to Q. lobata,Quercus_lobata,2,RAD-seq placement,McVay et al. 2017,,Quercus_section_Quercus,Nearctic,,,y,retain
Quercus_gambleana,Quercus_gambleana,,Quercus_gambleana,sister to Q. oxyodon,Quercus_oxyodon,2,considered a synonym of Q. oxyodon,,,Quercus_subgenus_Cyclobalanopsis,Eastern Palearctic and Oriental,Not in Denk et al. Considered valid elsewhere (worldfloraonline.org; oaknames.org),,n,delete
Quercus_garryana,Quercus_garryana,x,,,,NA,,,,Quercus_section_Quercus,Nearctic,,,y,retain
Quercus_geminata,Quercus_geminata,x,,,,NA,,,,Quercus_section_Virentes,Nearctic,,,y,retain
Quercus_georgiana,Quercus_georgiana,x,,,,NA,,,,Quercus_section_Lobatae,Nearctic,,,y,retain
Quercus_gilva,Quercus_gilva,x,,,,NA,,,,Quercus_subgenus_Cyclobalanopsis,Eastern Palearctic and Oriental,,,y,retain
Quercus_glabrescens,Quercus_glabrescens,x,,,,NA,,,,Quercus_section_Quercus,Nearctic,,,y,retain
Quercus_glauca,Quercus_glauca,,Quercus_glauca,near Q. annulata --- best as sister given sampling we have,Quercus_annulata,2,"unpublished whole-genome reseq data, Lin Lin and Min Deng pers.comm.",,,Quercus_subgenus_Cyclobalanopsis,Eastern Palearctic and Oriental,,,y,retain
Quercus_glaucoides,Quercus_glaucoides,x,,,,NA,,,,Quercus_section_Quercus,Nearctic,,,y,retain
